"weather_date","Rainfall.amount..millimetres.","Period.over.which.rainfall.was.measured..days.","Quality","rainfall_clean","actual_days_rain","cities"
1999-04-29,0,NA,"Y",0,0,"Perth"
1999-04-30,0,NA,"Y",0,0,"Perth"
1999-05-01,0,NA,"Y",0,2,"Perth"
1999-05-02,2,1,"Y",2,0.4,"Perth"
1999-05-03,0.4,1,"Y",0.4,0,"Perth"
1999-05-04,0,NA,"Y",0,0,"Perth"
1999-05-05,0,NA,"Y",0,12.4,"Perth"
1999-05-06,12.4,1,"Y",12.4,0,"Perth"
1999-05-07,0,NA,"Y",0,0.2,"Perth"
1999-05-08,0.2,1,"Y",0.2,0,"Perth"
1999-05-09,0,NA,"Y",0,0,"Perth"
1999-05-10,0,NA,"Y",0,0,"Perth"
1999-05-11,0,NA,"Y",0,0,"Perth"
1999-05-12,0,NA,"Y",0,2.8,"Perth"
1999-05-13,2.8,1,"Y",2.8,4,"Perth"
1999-05-14,4,1,"Y",4,2.6,"Perth"
1999-05-15,2.6,1,"Y",2.6,0.8,"Perth"
1999-05-16,0.8,1,"Y",0.8,0,"Perth"
1999-05-17,0,NA,"Y",0,0,"Perth"
1999-05-18,0,NA,"Y",0,9.4,"Perth"
1999-05-19,9.4,1,"Y",9.4,7.4,"Perth"
1999-05-20,7.4,1,"Y",7.4,3.8,"Perth"
1999-05-21,3.8,1,"Y",3.8,6.8,"Perth"
1999-05-22,6.8,1,"Y",6.8,0,"Perth"
1999-05-23,0,NA,"Y",0,0,"Perth"
1999-05-24,0,NA,"Y",0,0,"Perth"
1999-05-25,0,NA,"Y",0,3.4,"Perth"
1999-05-26,3.4,1,"Y",3.4,12,"Perth"
1999-05-27,12,1,"Y",12,28,"Perth"
1999-05-28,28,1,"Y",28,3.6,"Perth"
1999-05-29,3.6,1,"Y",3.6,0,"Perth"
1999-05-30,0,NA,"Y",0,0,"Perth"
1999-05-31,0,NA,"Y",0,0,"Perth"
1999-06-01,0,NA,"Y",0,0.2,"Perth"
1999-06-02,0.2,1,"Y",0.2,2.8,"Perth"
1999-06-03,2.8,1,"Y",2.8,0,"Perth"
1999-06-04,0,NA,"Y",0,0,"Perth"
1999-06-05,0,NA,"Y",0,0,"Perth"
1999-06-06,0,NA,"Y",0,0,"Perth"
1999-06-07,0,NA,"Y",0,5,"Perth"
1999-06-08,5,1,"Y",5,3.8,"Perth"
1999-06-09,3.8,1,"Y",3.8,0.2,"Perth"
1999-06-10,0.2,1,"Y",0.2,13.8,"Perth"
1999-06-11,13.8,1,"Y",13.8,2.4,"Perth"
1999-06-12,2.4,1,"Y",2.4,0,"Perth"
1999-06-13,0,NA,"Y",0,14,"Perth"
1999-06-14,14,1,"Y",14,2.6,"Perth"
1999-06-15,2.6,1,"Y",2.6,5.4,"Perth"
1999-06-16,5.4,1,"Y",5.4,0.2,"Perth"
1999-06-17,0.2,NA,"Y",0.2,22.4,"Perth"
1999-06-18,22.4,1,"Y",22.4,3.2,"Perth"
1999-06-19,3.2,1,"Y",3.2,0,"Perth"
1999-06-20,0,NA,"Y",0,0.2,"Perth"
1999-06-21,0.2,1,"Y",0.2,0,"Perth"
1999-06-22,0,NA,"Y",0,15.8,"Perth"
1999-06-23,15.8,1,"Y",15.8,0,"Perth"
1999-06-24,0,NA,"Y",0,0,"Perth"
1999-06-25,0,NA,"Y",0,11.4,"Perth"
1999-06-26,11.4,1,"Y",11.4,5.4,"Perth"
1999-06-27,5.4,1,"Y",5.4,3.4,"Perth"
1999-06-28,3.4,1,"Y",3.4,3.6,"Perth"
1999-06-29,3.6,1,"Y",3.6,0.2,"Perth"
1999-06-30,0.2,1,"Y",0.2,0,"Perth"
1999-07-01,0,NA,"Y",0,0,"Perth"
1999-07-02,0,NA,"Y",0,0,"Perth"
1999-07-03,0,NA,"Y",0,0,"Perth"
1999-07-04,0,NA,"Y",0,31.4,"Perth"
1999-07-05,31.4,1,"Y",31.4,6.8,"Perth"
1999-07-06,6.8,1,"Y",6.8,1.4,"Perth"
1999-07-07,1.4,1,"Y",1.4,0.2,"Perth"
1999-07-08,0.2,1,"Y",0.2,0,"Perth"
1999-07-09,0,NA,"Y",0,0,"Perth"
1999-07-10,0,NA,"Y",0,0.6,"Perth"
1999-07-11,0.6,1,"Y",0.6,0.2,"Perth"
1999-07-12,0.2,1,"Y",0.2,6.2,"Perth"
1999-07-13,6.2,1,"Y",6.2,13.8,"Perth"
1999-07-14,13.8,1,"Y",13.8,4.4,"Perth"
1999-07-15,4.4,1,"Y",4.4,10.2,"Perth"
1999-07-16,10.2,1,"Y",10.2,5.2,"Perth"
1999-07-17,5.2,1,"Y",5.2,0.6,"Perth"
1999-07-18,0.6,1,"Y",0.6,5.4,"Perth"
1999-07-19,5.4,1,"Y",5.4,0,"Perth"
1999-07-20,0,NA,"Y",0,0,"Perth"
1999-07-21,0,NA,"Y",0,0,"Perth"
1999-07-22,0,NA,"Y",0,0,"Perth"
1999-07-23,0,1,"Y",0,0,"Perth"
1999-07-24,0,NA,"Y",0,0,"Perth"
1999-07-25,0,NA,"Y",0,18.4,"Perth"
1999-07-26,18.4,1,"Y",18.4,2.6,"Perth"
1999-07-27,2.6,1,"Y",2.6,10,"Perth"
1999-07-28,10,1,"Y",10,0.6,"Perth"
1999-07-29,0.6,1,"Y",0.6,0,"Perth"
1999-07-30,0,NA,"Y",0,0.2,"Perth"
1999-07-31,0.2,1,"Y",0.2,0,"Perth"
1999-08-01,0,NA,"Y",0,0,"Perth"
1999-08-02,0,NA,"Y",0,0,"Perth"
1999-08-03,0,NA,"Y",0,0,"Perth"
1999-08-04,0,NA,"Y",0,0,"Perth"
1999-08-05,0,NA,"Y",0,12.8,"Perth"
1999-08-06,12.8,1,"Y",12.8,2.2,"Perth"
1999-08-07,2.2,1,"Y",2.2,0,"Perth"
1999-08-08,0,NA,"Y",0,0,"Perth"
1999-08-09,0,NA,"Y",0,1,"Perth"
1999-08-10,1,1,"Y",1,31.8,"Perth"
1999-08-11,31.8,1,"Y",31.8,6.6,"Perth"
1999-08-12,6.6,1,"Y",6.6,0,"Perth"
1999-08-13,0,NA,"Y",0,0.2,"Perth"
1999-08-14,0.2,NA,"Y",0.2,6.2,"Perth"
1999-08-15,6.2,1,"Y",6.2,2.4,"Perth"
1999-08-16,2.4,1,"Y",2.4,14.8,"Perth"
1999-08-17,14.8,1,"Y",14.8,22.8,"Perth"
1999-08-18,22.8,1,"Y",22.8,3.6,"Perth"
1999-08-19,3.6,1,"Y",3.6,0,"Perth"
1999-08-20,0,NA,"Y",0,0,"Perth"
1999-08-21,0,NA,"Y",0,0,"Perth"
1999-08-22,0,NA,"Y",0,0,"Perth"
1999-08-23,0,NA,"Y",0,19.4,"Perth"
1999-08-24,19.4,1,"Y",19.4,9.2,"Perth"
1999-08-25,9.2,1,"Y",9.2,0.4,"Perth"
1999-08-26,0.4,1,"Y",0.4,0,"Perth"
1999-08-27,0,NA,"Y",0,0,"Perth"
1999-08-28,0,NA,"Y",0,26,"Perth"
1999-08-29,26,1,"Y",26,7.8,"Perth"
1999-08-30,7.8,1,"Y",7.8,0.2,"Perth"
1999-08-31,0.2,1,"Y",0.2,0,"Perth"
1999-09-01,0,NA,"Y",0,0,"Perth"
1999-09-02,0,NA,"Y",0,14.8,"Perth"
1999-09-03,14.8,1,"Y",14.8,5.6,"Perth"
1999-09-04,5.6,1,"Y",5.6,0,"Perth"
1999-09-05,0,NA,"Y",0,0,"Perth"
1999-09-06,0,NA,"Y",0,0,"Perth"
1999-09-07,0,NA,"Y",0,0,"Perth"
1999-09-08,0,NA,"Y",0,0,"Perth"
1999-09-09,0,NA,"Y",0,0,"Perth"
1999-09-10,0,NA,"Y",0,31.6,"Perth"
1999-09-11,31.6,1,"Y",31.6,0.2,"Perth"
1999-09-12,0.2,1,"Y",0.2,0,"Perth"
1999-09-13,0,NA,"Y",0,16.4,"Perth"
1999-09-14,16.4,1,"Y",16.4,7.4,"Perth"
1999-09-15,7.4,1,"Y",7.4,0.2,"Perth"
1999-09-16,0.2,1,"Y",0.2,0,"Perth"
1999-09-17,0,NA,"Y",0,0,"Perth"
1999-09-18,0,NA,"Y",0,0,"Perth"
1999-09-19,0,NA,"Y",0,0,"Perth"
1999-09-20,0,NA,"Y",0,3,"Perth"
1999-09-21,3,1,"Y",3,7.4,"Perth"
1999-09-22,7.4,1,"Y",7.4,0,"Perth"
1999-09-23,0,NA,"Y",0,0,"Perth"
1999-09-24,0,NA,"Y",0,0,"Perth"
1999-09-25,0,NA,"Y",0,0,"Perth"
1999-09-26,0,NA,"Y",0,10.8,"Perth"
1999-09-27,10.8,1,"Y",10.8,8.4,"Perth"
1999-09-28,8.4,1,"Y",8.4,0,"Perth"
1999-09-29,0,NA,"Y",0,0,"Perth"
1999-09-30,0,NA,"Y",0,2.6,"Perth"
1999-10-01,2.6,1,"Y",2.6,0.2,"Perth"
1999-10-02,0.2,1,"Y",0.2,0,"Perth"
1999-10-03,0,NA,"Y",0,0,"Perth"
1999-10-04,0,NA,"Y",0,0,"Perth"
1999-10-05,0,NA,"Y",0,0,"Perth"
1999-10-06,0,NA,"Y",0,12.4,"Perth"
1999-10-07,12.4,1,"Y",12.4,37.6,"Perth"
1999-10-08,37.6,1,"Y",37.6,17.4,"Perth"
1999-10-09,17.4,1,"Y",17.4,0,"Perth"
1999-10-10,0,NA,"Y",0,0,"Perth"
1999-10-11,0,NA,"Y",0,0,"Perth"
1999-10-12,0,NA,"Y",0,0.2,"Perth"
1999-10-13,0.2,1,"Y",0.2,20,"Perth"
1999-10-14,20,1,"Y",20,0.4,"Perth"
1999-10-15,0.4,1,"Y",0.4,5.4,"Perth"
1999-10-16,5.4,1,"Y",5.4,0.2,"Perth"
1999-10-17,0.2,1,"Y",0.2,0,"Perth"
1999-10-18,0,NA,"Y",0,0,"Perth"
1999-10-19,0,NA,"Y",0,0,"Perth"
1999-10-20,0,NA,"Y",0,0,"Perth"
1999-10-21,0,NA,"Y",0,0,"Perth"
1999-10-22,0,NA,"Y",0,0,"Perth"
1999-10-23,0,NA,"Y",0,0,"Perth"
1999-10-24,0,NA,"Y",0,0,"Perth"
1999-10-25,0,NA,"Y",0,0,"Perth"
1999-10-26,0,NA,"Y",0,0,"Perth"
1999-10-27,0,NA,"Y",0,0,"Perth"
1999-10-28,0,NA,"Y",0,0,"Perth"
1999-10-29,0,NA,"Y",0,0,"Perth"
1999-10-30,0,NA,"Y",0,0,"Perth"
1999-10-31,0,NA,"Y",0,0,"Perth"
1999-11-01,0,NA,"Y",0,0,"Perth"
1999-11-02,0,NA,"Y",0,0,"Perth"
1999-11-03,0,NA,"Y",0,0,"Perth"
1999-11-04,0,NA,"Y",0,0,"Perth"
1999-11-05,0,NA,"Y",0,0,"Perth"
1999-11-06,0,NA,"Y",0,0,"Perth"
1999-11-07,0,NA,"Y",0,0,"Perth"
1999-11-08,0,NA,"Y",0,0,"Perth"
1999-11-09,0,NA,"Y",0,0,"Perth"
1999-11-10,0,1,"Y",0,0,"Perth"
1999-11-11,0,1,"Y",0,0,"Perth"
1999-11-12,0,NA,"Y",0,0,"Perth"
1999-11-13,0,NA,"Y",0,0,"Perth"
1999-11-14,0,NA,"Y",0,0,"Perth"
1999-11-15,0,NA,"Y",0,4.4,"Perth"
1999-11-16,4.4,1,"Y",4.4,0,"Perth"
1999-11-17,0,NA,"Y",0,0,"Perth"
1999-11-18,0,NA,"Y",0,0,"Perth"
1999-11-19,0,NA,"Y",0,0,"Perth"
1999-11-20,0,NA,"Y",0,0,"Perth"
1999-11-21,0,NA,"Y",0,0,"Perth"
1999-11-22,0,NA,"Y",0,0,"Perth"
1999-11-23,0,NA,"Y",0,0,"Perth"
1999-11-24,0,NA,"Y",0,0,"Perth"
1999-11-25,0,NA,"Y",0,0,"Perth"
1999-11-26,0,NA,"Y",0,0,"Perth"
1999-11-27,0,NA,"Y",0,0,"Perth"
1999-11-28,0,NA,"Y",0,0,"Perth"
1999-11-29,0,NA,"Y",0,0,"Perth"
1999-11-30,0,NA,"Y",0,0,"Perth"
1999-12-01,0,NA,"Y",0,1,"Perth"
1999-12-02,1,1,"Y",1,0.4,"Perth"
1999-12-03,0.4,1,"Y",0.4,0,"Perth"
1999-12-04,0,NA,"Y",0,0.8,"Perth"
1999-12-05,0.8,1,"Y",0.8,0,"Perth"
1999-12-06,0,NA,"Y",0,0,"Perth"
1999-12-07,0,NA,"Y",0,0,"Perth"
1999-12-08,0,NA,"Y",0,0,"Perth"
1999-12-09,0,NA,"Y",0,0,"Perth"
1999-12-10,0,NA,"Y",0,0,"Perth"
1999-12-11,0,NA,"Y",0,0,"Perth"
1999-12-12,0,NA,"Y",0,0.8,"Perth"
1999-12-13,0.8,1,"Y",0.8,0.2,"Perth"
1999-12-14,0.2,1,"Y",0.2,0,"Perth"
1999-12-15,0,NA,"Y",0,0,"Perth"
1999-12-16,0,NA,"Y",0,0,"Perth"
1999-12-17,0,NA,"Y",0,0,"Perth"
1999-12-18,0,NA,"Y",0,0,"Perth"
1999-12-19,0,NA,"Y",0,4,"Perth"
1999-12-20,4,1,"Y",4,0,"Perth"
1999-12-21,0,NA,"Y",0,0,"Perth"
1999-12-22,0,NA,"Y",0,0,"Perth"
1999-12-23,0,NA,"Y",0,0,"Perth"
1999-12-24,0,NA,"Y",0,0,"Perth"
1999-12-25,0,NA,"Y",0,0,"Perth"
1999-12-26,0,NA,"Y",0,0,"Perth"
1999-12-27,0,NA,"Y",0,0,"Perth"
1999-12-28,0,NA,"Y",0,0,"Perth"
1999-12-29,0,NA,"Y",0,0,"Perth"
1999-12-30,0,NA,"Y",0,0,"Perth"
1999-12-31,0,NA,"Y",0,0,"Perth"
2000-01-01,0,NA,"Y",0,0,"Perth"
2000-01-02,0,NA,"Y",0,0,"Perth"
2000-01-03,0,NA,"Y",0,0,"Perth"
2000-01-04,0,NA,"Y",0,0,"Perth"
2000-01-05,0,NA,"Y",0,0,"Perth"
2000-01-06,0,NA,"Y",0,0,"Perth"
2000-01-07,0,NA,"Y",0,0,"Perth"
2000-01-08,0,NA,"Y",0,0,"Perth"
2000-01-09,0,NA,"Y",0,0,"Perth"
2000-01-10,0,NA,"Y",0,0,"Perth"
2000-01-11,0,NA,"Y",0,0,"Perth"
2000-01-12,0,NA,"Y",0,0,"Perth"
2000-01-13,0,NA,"Y",0,0,"Perth"
2000-01-14,0,NA,"Y",0,12.8,"Perth"
2000-01-15,12.8,1,"Y",12.8,4.2,"Perth"
2000-01-16,4.2,1,"Y",4.2,5,"Perth"
2000-01-17,5,1,"Y",5,0,"Perth"
2000-01-18,0,NA,"Y",0,0,"Perth"
2000-01-19,0,NA,"Y",0,0,"Perth"
2000-01-20,0,NA,"Y",0,0,"Perth"
2000-01-21,0,NA,"Y",0,104,"Perth"
2000-01-22,104,1,"Y",104,11.4,"Perth"
2000-01-23,11.4,1,"Y",11.4,0.4,"Perth"
2000-01-24,0.4,1,"Y",0.4,0,"Perth"
2000-01-25,0,NA,"Y",0,0,"Perth"
2000-01-26,0,NA,"Y",0,0,"Perth"
2000-01-27,0,NA,"Y",0,0,"Perth"
2000-01-28,0,NA,"Y",0,0,"Perth"
2000-01-29,0,NA,"Y",0,0,"Perth"
2000-01-30,0,NA,"Y",0,1.2,"Perth"
2000-01-31,1.2,1,"Y",1.2,0,"Perth"
2000-02-01,0,NA,"Y",0,0,"Perth"
2000-02-02,0,NA,"Y",0,0,"Perth"
2000-02-03,0,NA,"Y",0,0,"Perth"
2000-02-04,0,NA,"Y",0,0,"Perth"
2000-02-05,0,NA,"Y",0,0,"Perth"
2000-02-06,0,NA,"Y",0,0,"Perth"
2000-02-07,0,NA,"Y",0,0,"Perth"
2000-02-08,0,NA,"Y",0,0,"Perth"
2000-02-09,0,NA,"Y",0,0,"Perth"
2000-02-10,0,NA,"Y",0,0,"Perth"
2000-02-11,0,NA,"Y",0,0,"Perth"
2000-02-12,0,NA,"Y",0,0,"Perth"
2000-02-13,0,NA,"Y",0,0,"Perth"
2000-02-14,0,NA,"Y",0,0,"Perth"
2000-02-15,0,NA,"Y",0,0,"Perth"
2000-02-16,0,NA,"Y",0,0,"Perth"
2000-02-17,0,NA,"Y",0,0,"Perth"
2000-02-18,0,NA,"Y",0,0,"Perth"
2000-02-19,0,NA,"Y",0,0,"Perth"
2000-02-20,0,NA,"Y",0,0,"Perth"
2000-02-21,0,NA,"Y",0,0,"Perth"
2000-02-22,0,NA,"Y",0,0,"Perth"
2000-02-23,0,NA,"Y",0,0,"Perth"
2000-02-24,0,NA,"Y",0,0,"Perth"
2000-02-25,0,NA,"Y",0,0,"Perth"
2000-02-26,0,NA,"Y",0,0,"Perth"
2000-02-27,0,NA,"Y",0,0,"Perth"
2000-02-28,0,NA,"Y",0,0,"Perth"
2000-02-29,0,NA,"Y",0,0,"Perth"
2000-03-01,0,NA,"Y",0,0,"Perth"
2000-03-02,0,NA,"Y",0,0,"Perth"
2000-03-03,0,NA,"Y",0,0,"Perth"
2000-03-04,0,NA,"Y",0,0,"Perth"
2000-03-05,0,NA,"Y",0,0,"Perth"
2000-03-06,0,NA,"Y",0,0,"Perth"
2000-03-07,0,NA,"Y",0,0,"Perth"
2000-03-08,0,NA,"Y",0,0,"Perth"
2000-03-09,0,NA,"Y",0,2.2,"Perth"
2000-03-10,2.2,1,"Y",2.2,0,"Perth"
2000-03-11,0,NA,"Y",0,0,"Perth"
2000-03-12,0,NA,"Y",0,0,"Perth"
2000-03-13,0,NA,"Y",0,0,"Perth"
2000-03-14,0,NA,"Y",0,0,"Perth"
2000-03-15,0,NA,"Y",0,0,"Perth"
2000-03-16,0,NA,"Y",0,1.2,"Perth"
2000-03-17,1.2,1,"Y",1.2,0,"Perth"
2000-03-18,0,NA,"Y",0,0,"Perth"
2000-03-19,0,NA,"Y",0,0,"Perth"
2000-03-20,0,NA,"Y",0,0,"Perth"
2000-03-21,0,NA,"Y",0,18.6,"Perth"
2000-03-22,18.6,1,"Y",18.6,0.2,"Perth"
2000-03-23,0.2,1,"Y",0.2,0,"Perth"
2000-03-24,0,NA,"Y",0,0,"Perth"
2000-03-25,0,NA,"Y",0,0,"Perth"
2000-03-26,0,NA,"Y",0,0,"Perth"
2000-03-27,0,NA,"Y",0,0,"Perth"
2000-03-28,0,NA,"Y",0,0,"Perth"
2000-03-29,0,NA,"Y",0,0,"Perth"
2000-03-30,0,NA,"Y",0,0,"Perth"
2000-03-31,0,NA,"Y",0,0,"Perth"
2000-04-01,0,NA,"Y",0,0,"Perth"
2000-04-02,0,NA,"Y",0,0,"Perth"
2000-04-03,0,NA,"Y",0,0,"Perth"
2000-04-04,0,NA,"Y",0,0,"Perth"
2000-04-05,0,NA,"Y",0,0,"Perth"
2000-04-06,0,NA,"Y",0,0,"Perth"
2000-04-07,0,NA,"Y",0,0,"Perth"
2000-04-08,0,NA,"Y",0,0,"Perth"
2000-04-09,0,NA,"Y",0,0,"Perth"
2000-04-10,0,NA,"Y",0,0,"Perth"
2000-04-11,0,NA,"Y",0,0,"Perth"
2000-04-12,0,NA,"Y",0,2,"Perth"
2000-04-13,2,1,"Y",2,0,"Perth"
2000-04-14,0,NA,"Y",0,0.2,"Perth"
2000-04-15,0.2,1,"Y",0.2,0,"Perth"
2000-04-16,0,NA,"Y",0,0,"Perth"
2000-04-17,0,NA,"Y",0,0,"Perth"
2000-04-18,0,NA,"Y",0,0,"Perth"
2000-04-19,0,NA,"Y",0,0,"Perth"
2000-04-20,0,NA,"Y",0,11,"Perth"
2000-04-21,11,1,"Y",11,0,"Perth"
2000-04-22,0,NA,"Y",0,0,"Perth"
2000-04-23,0,NA,"Y",0,0,"Perth"
2000-04-24,0,NA,"Y",0,0,"Perth"
2000-04-25,0,NA,"Y",0,3.4,"Perth"
2000-04-26,3.4,1,"Y",3.4,5.4,"Perth"
2000-04-27,5.4,1,"Y",5.4,1.6,"Perth"
2000-04-28,1.6,1,"Y",1.6,9,"Perth"
2000-04-29,9,1,"Y",9,0,"Perth"
2000-04-30,0,NA,"Y",0,0,"Perth"
2000-05-01,0,NA,"Y",0,0,"Perth"
2000-05-02,0,NA,"Y",0,0,"Perth"
2000-05-03,0,NA,"Y",0,0,"Perth"
2000-05-04,0,NA,"Y",0,0,"Perth"
2000-05-05,0,NA,"Y",0,0,"Perth"
2000-05-06,0,NA,"Y",0,0,"Perth"
2000-05-07,0,NA,"Y",0,0,"Perth"
2000-05-08,0,NA,"Y",0,0,"Perth"
2000-05-09,0,NA,"Y",0,1.4,"Perth"
2000-05-10,1.4,1,"Y",1.4,10.2,"Perth"
2000-05-11,10.2,1,"Y",10.2,12.8,"Perth"
2000-05-12,12.8,1,"Y",12.8,1.6,"Perth"
2000-05-13,1.6,1,"Y",1.6,0.2,"Perth"
2000-05-14,0.2,1,"Y",0.2,0,"Perth"
2000-05-15,0,NA,"Y",0,0,"Perth"
2000-05-16,0,NA,"Y",0,0,"Perth"
2000-05-17,0,NA,"Y",0,0,"Perth"
2000-05-18,0,NA,"Y",0,0,"Perth"
2000-05-19,0,NA,"Y",0,0,"Perth"
2000-05-20,0,NA,"Y",0,0,"Perth"
2000-05-21,0,NA,"Y",0,0,"Perth"
2000-05-22,0,NA,"Y",0,0,"Perth"
2000-05-23,0,NA,"Y",0,0,"Perth"
2000-05-24,0,NA,"Y",0,0,"Perth"
2000-05-25,0,NA,"Y",0,0,"Perth"
2000-05-26,0,NA,"Y",0,0,"Perth"
